order_id,customer_id,order_date,shipping_city,shipping_address,shipping_lat,shipping_lng,shipping_date,total_amount,payment_method,status
1,7779,2022-02-21 03:49:46,세종,"세종특별자치시 보람동 810, 961호",36.479215333909536,127.28432772495125,2022-02-25 03:49:46,312050,계좌이체,Delivered
2,1407,2023-06-24 00:02:35,대구,"대구광역시 수성구 범어동 407, 564호",35.86800980019525,128.5977394237089,2023-06-29 00:02:35,256630,네이버페이,Shipped
3,6736,2023-12-31 18:20:37,인천,"인천광역시 부평구 부평동 233, 868호",37.45879902582807,126.70293214437127,2024-01-02 18:20:37,441090,모바일결제,Shipped
4,6449,2022-05-22 03:26:34,울산,"울산광역시 남구 삼산동 154, 257호",35.53943098308461,129.30965130316255,2022-05-28 03:26:34,1740650,계좌이체,Delivered
5,6564,2022-03-03 18:15:38,대전,"대전광역시 동구 가오동 220, 873호",36.350963095228636,127.38444073570932,2022-03-08 18:15:38,116840,계좌이체,Shipped
6,7148,2022-12-31 00:11:52,세종,"세종특별자치시 아름동 743-14, 575호",36.476643241353074,127.2847824740468,2023-01-03 00:11:52,2337750,신용카드,Delivered
7,5378,2023-07-23 02:12:55,광주,"광주광역시 북구 문산로 34-40, 688호",35.16037354375804,126.85758397923556,2023-07-24 02:12:55,90220,모바일결제,Shipped
8,4753,2022-04-25 11:32:26,수원,"경기도 수원시 권선구 곡반정동 473, 274호",37.266642205608235,127.02815733314326,2022-04-27 11:32:26,1056930,계좌이체,Delivered
9,4161,2023-10-07 20:26:23,인천,"인천광역시 연수구 송도동 30-6, 477호",37.45807682127188,126.70400347853021,2023-10-09 20:26:23,3516050,신용카드,Shipped
10,3068,2022-04-13 08:01:04,창원,"경상남도 창원시 마산합포구 508, 991호",35.225963895425785,128.6816206988102,2022-04-18 08:01:04,35310,모바일결제,Shipped
11,54,2022-05-14 05:59:40,세종,"세종특별자치시 새롬동 529-50, 772호",36.48338087664812,127.28513091655185,,1140490,카카오페이,Cancelled
12,7665,2022-10-02 09:09:53,대구,"대구광역시 동구 신천동 38-41, 258호",35.87218894588507,128.60192336344514,2022-10-09 09:09:53,187200,네이버페이,Shipped
13,9100,2022-07-11 17:15:29,인천,"인천광역시 연수구 송도동 967-6, 558호",37.46000736574079,126.70703744831,2022-07-17 17:15:29,296140,신용카드,Delivered
14,2681,2023-06-25 19:18:03,전주,"전라북도 전주시 중화산동 452, 669호",35.82126529984727,127.15298043823762,2023-06-26 19:18:03,1239380,모바일결제,Delivered
15,1721,2023-12-15 09:18:29,창원,"경상남도 창원시 마산합포구 357-73, 917호",35.226446580790075,128.68464567875384,2023-12-17 09:18:29,90320,카카오페이,Shipped
16,6275,2023-08-24 21:22:53,수원,"경기도 수원시 팔달구 매산로 901, 505호",37.2637147604869,127.03236506400543,2023-08-26 21:22:53,389900,카카오페이,Delivered
17,2437,2023-01-16 14:27:04,청주,"충청북도 청주시 상당구 470-52, 913호",36.64701647560764,127.48457290441894,2023-01-23 14:27:04,407740,모바일결제,Shipped
18,125,2023-03-21 00:54:57,서울,"서울특별시 중구 을지로 498, 945호",37.56991494721409,126.97881741483033,2023-03-28 00:54:57,371230,계좌이체,Delivered
19,2064,2023-05-13 14:21:58,서울,"서울특별시 중구 을지로 881-39, 647호",37.563051299056184,126.98113945021164,2023-05-15 14:21:58,379470,네이버페이,Delivered
