customer_id,customer_name,email,phone_number,city,latitude,longitude,created_at,membership_level
1,최민준,chmj859@daum.net,,대구,35.8714,128.6014,2021-08-17,일반
2,최예린,chngr858@gmail.com,,창원,35.2271,128.6811,2022-03-09,MVP
3,박지후,bjh338@gmail.com,010-9928-7873,수원,37.2636,127.0286,2021-07-23,우수
4,윤수빈,ngsb703@daum.net,010-6574-5552,서울,37.5665,126.978,2021-06-13,우수
5,정지후,jjh881@daum.net,010-6881-6635,부산,35.1796,129.0756,2021-04-05,일반
6,장현정,jhj144@nate.com,010-7201-2291,수원,37.2636,127.0286,2021-05-08,일반
7,송우진,sngj949@daum.net,010-1750-4733,창원,35.2271,128.6811,2021-07-16,일반
8,임예준,ngngj975@naver.com,010-6977-3664,부산,35.1796,129.0756,2022-01-25,VIP
9,한지원,hjng314@daum.net,010-3803-9751,전주,35.8219,127.148,2022-12-01,우수
10,윤하준,nghj573@nate.com,010-4598-6313,대전,36.3504,127.3845,2022-10-18,우수
11,이현우,nghng941@gmail.com,010-4456-6155,광주,35.1595,126.8526,2022-02-15,일반
12,조서현,jsh611@nate.com,,청주,36.6424,127.489,2022-04-15,MVP
13,정현우,jhng862@daum.net,010-7543-6930,전주,35.8219,127.148,2022-08-22,VIP
14,윤주원,ngjng621@nate.com,010-3504-3621,부산,35.1796,129.0756,2021-02-18,일반
15,서하린,shr165@nate.com,010-9669-5119,울산,35.5398,129.3114,2022-09-03,일반
16,송지현,sjh111@gmail.com,010-6573-2827,청주,36.6424,127.489,2022-07-04,일반
17,임서연,ngsng261@nate.com,010-3927-9317,서울,37.5665,126.978,2021-09-27,일반
18,최지현,chjh740@daum.net,010-3504-7126,청주,36.6424,127.489,2022-06-04,우수
19,강지아,gjng897@gmail.com,010-2832-6947,창원,35.2271,128.6811,2021-11-28,일반
20,임현우,nghng159@naver.com,,창원,35.2271,128.6811,2021-03-22,일반
21,황영민,hngm170@naver.com,010-3705-5342,인천,37.4563,126.7052,2022-11-07,우수
22,안지현,ngjh721@nate.com,010-4295-6107,대구,35.8714,128.6014,2022-07-07,일반
23,신예린,sngr765@daum.net,010-5061-4681,세종,36.48,127.289,2022-06-14,일반
24,박유진,bngj121@naver.com,,창원,35.2271,128.6811,2021-08-14,일반
25,이현우,nghng169@gmail.com,010-5562-8953,광주,35.1595,126.8526,2021-03-14,일반
26,조지아,jjng235@nate.com,010-4119-2545,대구,35.8714,128.6014,2022-04-30,우수
27,최예린,chngr541@daum.net,010-1887-2612,울산,35.5398,129.3114,2022-02-25,일반
28,이지민,ngjm845@daum.net,,부산,35.1796,129.0756,2021-09-12,우수
29,송수빈,ssb243@nate.com,010-2235-8260,인천,37.4563,126.7052,2021-10-13,우수
30,송도윤,sdng151@gmail.com,,부산,35.1796,129.0756,2021-08-31,일반
31,황민서,hms318@nate.com,010-7396-5345,서울,37.5665,126.978,2021-06-18,우수
32,권우진,gngj533@nate.com,010-1958-9883,인천,37.4563,126.7052,2021-07-14,일반
33,이채원,ngchng421@gmail.com,010-9701-3579,서울,37.5665,126.978,2022-08-22,일반
34,이하늘,nghn182@naver.com,,부산,35.1796,129.0756,2022-09-02,VIP
35,윤지민,ngjm222@naver.com,,창원,35.2271,128.6811,2022-09-01,MVP
36,박서연,bsng773@daum.net,010-6147-4910,대전,36.3504,127.3845,2021-07-29,VIP
37,장지민,jjm234@daum.net,010-2188-1152,세종,36.48,127.289,2021-11-20,일반
38,권하린,ghr676@gmail.com,010-5345-3170,부산,35.1796,129.0756,2022-07-05,일반
39,한태현,hth170@naver.com,,광주,35.1595,126.8526,2021-10-19,우수
40,송가은,sgng409@gmail.com,010-2697-3200,청주,36.6424,127.489,2022-07-22,일반
41,장도윤,jdng209@naver.com,010-6617-4335,대전,36.3504,127.3845,2021-10-16,일반
42,장하늘,jhn600@daum.net,010-5533-1722,서울,37.5665,126.978,2021-04-05,일반
43,김유진,gngj889@naver.com,,청주,36.6424,127.489,2021-09-26,일반
44,권지아,gjng822@nate.com,,수원,37.2636,127.0286,2021-01-10,VIP
45,정지아,jjng136@daum.net,,창원,35.2271,128.6811,2022-07-20,일반
46,정서준,jsj415@daum.net,010-5088-2684,서울,37.5665,126.978,2022-01-02,우수
47,한나윤,hnng673@nate.com,010-4878-3662,창원,35.2271,128.6811,2021-06-08,일반
48,강태현,gth522@gmail.com,010-7745-5065,인천,37.4563,126.7052,2021-12-07,우수
49,장하준,jhj906@gmail.com,010-4644-4269,울산,35.5398,129.3114,2021-02-09,우수
50,권지원,gjng412@naver.com,010-7528-6378,대구,35.8714,128.6014,2021-01-25,일반
51,장지현,jjh171@daum.net,010-9785-6425,광주,35.1595,126.8526,2022-10-19,MVP
52,김도윤,gdng998@daum.net,010-5349-1626,인천,37.4563,126.7052,2022-08-18,우수
53,최하린,chhr544@daum.net,010-9379-2894,전주,35.8219,127.148,2021-11-18,VIP
54,신태현,sth690@naver.com,010-1027-9518,대전,36.3504,127.3845,2021-02-15,VIP
55,송예린,sngr836@naver.com,,광주,35.1595,126.8526,2022-03-18,우수
56,오하린,nghr421@gmail.com,010-7691-6344,전주,35.8219,127.148,2021-11-04,VIP
57,신가은,sgng402@naver.com,010-7211-3851,대구,35.8714,128.6014,2022-03-07,일반
58,전우진,jngj515@gmail.com,010-6279-8618,대전,36.3504,127.3845,2021-10-21,일반
59,권수빈,gsb791@naver.com,010-3780-2389,수원,37.2636,127.0286,2022-04-30,일반
60,임하늘,nghn779@daum.net,010-4680-4262,부산,35.1796,129.0756,2021-08-29,일반
61,정민준,jmj147@naver.com,010-2193-8461,세종,36.48,127.289,2022-09-18,일반
62,서태현,sth744@naver.com,010-7547-4997,전주,35.8219,127.148,2022-12-15,일반
63,정서현,jsh804@gmail.com,010-9486-8611,부산,35.1796,129.0756,2022-03-12,VIP
64,이지아,ngjng355@gmail.com,010-9702-6198,세종,36.48,127.289,2021-05-17,일반
65,권하린,ghr934@nate.com,010-8777-8373,수원,37.2636,127.0286,2022-04-02,일반
66,장나윤,jnng353@daum.net,010-5499-8206,수원,37.2636,127.0286,2022-05-12,우수
67,박가은,bgng392@naver.com,010-9849-2320,대전,36.3504,127.3845,2021-12-10,일반
